loc_id,title,date,description,subject,location,permalink,image_url,local_path,combined_text
musihas.200217796,[Unidentified Production: Unidentified Portrait],1934,,theater | costume designs | united states,,http://www.loc.gov/item/musihas.200217796/,https://tile.loc.gov/image-services/iiif/public:music:musihas-200217796:musihas-200217796.0001/full/pct:3.125/0/default.jpg,data/raw/loc/images/musihas.200217796__Unidentified Production_ Unidentified P.jpg,[Unidentified Production: Unidentified Portrait].  theater | costume designs | united states
musihas.200217787,[Unidentified Production A: Unidentified Character],1934,,theater | costume designs | united states,,http://www.loc.gov/item/musihas.200217787/,https://tile.loc.gov/image-services/iiif/public:music:musihas-200217787:musihas-200217787.0001/full/pct:6.25/0/default.jpg,data/raw/loc/images/musihas.200217787__Unidentified Production A_ Unidentified.jpg,[Unidentified Production A: Unidentified Character].  theater | costume designs | united states
musihas.200217789,"[Unidentified Production: Unidentified ""Men + Women""]",1934,,theater | costume designs | united states,,http://www.loc.gov/item/musihas.200217789/,https://tile.loc.gov/image-services/iiif/public:music:musihas-200217789:musihas-200217789.0001/full/pct:6.25/0/default.jpg,data/raw/loc/images/musihas.200217789__Unidentified Production_ Unidentified _.jpg,"[Unidentified Production: Unidentified ""Men + Women""].  theater | costume designs | united states"
musihas.200217788,[Unidentified Production A: Unidentified Characters 2],1934,,theater | costume designs | united states,,http://www.loc.gov/item/musihas.200217788/,https://tile.loc.gov/image-services/iiif/public:music:musihas-200217788:musihas-200217788.0001/full/pct:6.25/0/default.jpg,data/raw/loc/images/musihas.200217788__Unidentified Production A_ Unidentified.jpg,[Unidentified Production A: Unidentified Characters 2].  theater | costume designs | united states
musftpphotoprints.200224524,Unidentified Portraits,1934,,theater | photographic prints | united states | photographic prints - portraits,,http://www.loc.gov/item/musftpphotoprints.200224524/,https://tile.loc.gov/image-services/iiif/public:music:musftpphotoprints-200224524:musftpphotoprints-200224524.0001/full/pct:12.5/0/default.jpg,data/raw/loc/images/musftpphotoprints.200224524_Unidentified Portraits.jpg,Unidentified Portraits.  theater | photographic prints | united states | photographic prints - portraits
musftpnegatives.12270214,Portraits (unidentified),1934,,theater | photographic negative file | united states,,http://www.loc.gov/item/musftpnegatives.12270214/,https://tile.loc.gov/image-services/iiif/public:music:musftpnegatives-12270214:musftpnegatives-12270214.0001/full/pct:3.125/0/default.jpg,data/raw/loc/images/musftpnegatives.12270214_Portraits (unidentified).jpg,Portraits (unidentified).  theater | photographic negative file | united states
2023861881,[Unidentified] [1],,"n.d. Two drawings of a set design which consist of a steep incline For information about this resource, refer to finding aid available at https://hdl.loc.gov/loc.music/eadmus.mu023015 Record created through migration from the Performing Arts Encyclopedia Database.",drawings,,http://www.loc.gov/item/2023861881/,https://tile.loc.gov/image-services/iiif/public:music:musihas-200154618:musihas-200154618.0001/full/pct:6.25/0/default.jpg,data/raw/loc/images/2023861881__Unidentified_ _1_.jpg,"[Unidentified] [1]. n.d. Two drawings of a set design which consist of a steep incline For information about this resource, refer to finding aid available at https://hdl.loc.gov/loc.music/eadmus.mu023015 Record created through migration from the Performing Arts Encyclopedia Database. drawings"
2023861908,[Unidentified] [9],,"(White blouse with yellow, red, and blue ribbons on the sleeves, black bodice, white apron with red, blue, yellow, and green stripes, and yellow skirt with pink detailing near the hem) Costume design for Female with attached green fabric swatch and yellow fabric swatch n.d. For information about this resource, refer to finding aid available at https://hdl.loc.gov/loc.music/eadmus.mu023015 Record created through migration from the Performing Arts Encyclopedia Database.",drawings,,http://www.loc.gov/item/2023861908/,https://tile.loc.gov/image-services/iiif/public:music:musihas-200154718:musihas-200154718.0001/full/pct:12.5/0/default.jpg,data/raw/loc/images/2023861908__Unidentified_ _9_.jpg,"[Unidentified] [9]. (White blouse with yellow, red, and blue ribbons on the sleeves, black bodice, white apron with red, blue, yellow, and green stripes, and yellow skirt with pink detailing near the hem) Costume design for Female with attached green fabric swatch and yellow fabric swatch n.d. For information about this resource, refer to finding aid available at https://hdl.loc.gov/loc.music/eadmus.mu023015 Record created through migration from the Performing Arts Encyclopedia Database. drawings"
2023861900,[Unidentified] [13],1920,"Costume design for Japanese Dancer. [Possible costume design for On the Road.] For information about this resource, refer to finding aid available at https://hdl.loc.gov/loc.music/eadmus.mu023015 Record created through migration from the Performing Arts Encyclopedia Database.",drawings,,http://www.loc.gov/item/2023861900/,https://tile.loc.gov/image-services/iiif/public:music:musihas-200154710:musihas-200154710.0001/full/pct:12.5/0/default.jpg,data/raw/loc/images/2023861900__Unidentified_ _13_.jpg,"[Unidentified] [13]. Costume design for Japanese Dancer. [Possible costume design for On the Road.] For information about this resource, refer to finding aid available at https://hdl.loc.gov/loc.music/eadmus.mu023015 Record created through migration from the Performing Arts Encyclopedia Database. drawings"
2023861902,[Unidentified] [3],,"(Red neck scarf, white shirt, green jacket, green and red vest, blue stirrup pants, white stockings, black shoes) Costume design for Male (on reverse side: rough costume sketch for Female) n.d. For information about this resource, refer to finding aid available at https://hdl.loc.gov/loc.music/eadmus.mu023015 Record created through migration from the Performing Arts Encyclopedia Database.",drawings,,http://www.loc.gov/item/2023861902/,https://tile.loc.gov/image-services/iiif/public:music:musihas-200154712:musihas-200154712.0001/full/pct:6.25/0/default.jpg,data/raw/loc/images/2023861902__Unidentified_ _3_.jpg,"[Unidentified] [3]. (Red neck scarf, white shirt, green jacket, green and red vest, blue stirrup pants, white stockings, black shoes) Costume design for Male (on reverse side: rough costume sketch for Female) n.d. For information about this resource, refer to finding aid available at https://hdl.loc.gov/loc.music/eadmus.mu023015 Record created through migration from the Performing Arts Encyclopedia Database. drawings"
2023861903,[Unidentified] [4],,"(Green hat with yellow tassel, white shirt with purple print sleeves, multicolored vest, green pants, yellow stockings, black shoes with red ribbons) Costume design for Street Organ Grinder with attached green fabric swatch and multicolored fabric swatch n.d. For information about this resource, refer to finding aid available at https://hdl.loc.gov/loc.music/eadmus.mu023015 Record created through migration from the Performing Arts Encyclopedia Database.",drawings,,http://www.loc.gov/item/2023861903/,https://tile.loc.gov/image-services/iiif/public:music:musihas-200154713:musihas-200154713.0001/full/pct:6.25/0/default.jpg,data/raw/loc/images/2023861903__Unidentified_ _4_.jpg,"[Unidentified] [4]. (Green hat with yellow tassel, white shirt with purple print sleeves, multicolored vest, green pants, yellow stockings, black shoes with red ribbons) Costume design for Street Organ Grinder with attached green fabric swatch and multicolored fabric swatch n.d. For information about this resource, refer to finding aid available at https://hdl.loc.gov/loc.music/eadmus.mu023015 Record created through migration from the Performing Arts Encyclopedia Database. drawings"
